Año;Grupo;Grupo de Causas de Defunción;Negrita;Total;Menores de 1;1 a 4;5 a 14;15 a 24;25 a 34;35 a 44;45 a 54;55 a 64;65 a 74;75 y mas;Sin especificar
2018;0300;3. Diabetes mellitus;1;9086;0;3;3;23;84;188;543;1581;2648;3991;22
2018;0400;4. Def.de la nutrición y anemias nutricionales;1;780;8;6;0;10;6;16;11;35;93;591;4
2018;0500;5. Trastornos metabólicos;1;2189;27;28;20;32;18;32;36;111;285;1586;14
2018;0600;6. Meningitis ;1;280;23;6;6;15;21;28;39;50;52;38;2
2018;0700;7. Enfermedad de Alzheimer;1;1326;0;0;0;2;1;2;2;20;110;1189;0
2018;0800;8. Trast. mentales y del comportamiento;1;2902;0;0;3;17;26;58;86;156;343;2201;12
2018;0810;Síndrome de dependencia del alcohol;2;333;0;0;0;3;8;33;66;95;88;40;0
2018;0820;Otros transtornos mentales y del comportamiento;2;2569;0;0;3;14;18;25;20;61;255;2161;12
2018;0900;9. Enfermedades del sistema circulatorio;1;95826;55;47;72;281;641;1626;4142;9876;19435;59139;512
2018;0910;Enfermedades hipertensivas;2;7293;1;1;0;5;16;62;180;569;1177;5238;44
2018;0911;Enfermedades isquémicas del corazón;2;22070;3;4;1;41;113;420;1284;3053;5235;11805;111
2018;0912;Insuficiencia cardíaca;2;22973;19;13;11;49;128;247;644;1617;3836;16221;188
2018;0913;Compl.y descripc.mal definidas de enf. cardíaca;2;1495;0;1;4;8;11;44;75;160;280;900;12
2018;0914;Las demás enfermedades del corazón;2;18060;22;18;20;92;167;341;756;1830;3738;11005;71
2018;0920;Enfermedades cerebrovasculares;2;19210;8;8;29;67;171;416;1025;2233;4225;10958;70
2018;0921;Ateroesclerosis;2;314;0;0;0;0;0;0;4;12;32;263;3
2018;0922;Las demás enfermedades del sistema circulatorio;2;4411;2;2;7;19;35;96;174;402;912;2749;13
2018;1000;10. Enfermedades del sistema respiratorio;1;61668;380;175;115;373;499;955;1766;4644;11256;41106;399
2018;1010;Neumonía e influenza;2;31916;99;91;52;210;275;496;908;2079;5023;22462;221
2018;1011;Bronquitis y bronquiolitis agudas;2;155;47;4;0;0;0;3;2;5;18;76;0
2018;1012;Las demás infecciones respiratorias agudas ;2;1030;4;3;3;7;12;14;12;54;199;721;1
2018;1020;Enfermedades crónicas de las vías respiratorias inferiores;2;7036;6;8;5;24;26;64;192;926;2043;3717;25
2018;1030;Neumonitis debidas a sólidos y líquidos;2;3203;139;26;14;26;19;48;60;120;368;2369;14
2018;1040;Insuficiencia respiratoria no clasificada en otra parte;2;10707;19;13;10;28;72;160;318;805;2152;7015;115
2018;1050;Las demás enfermedades del sistema respiratorio;2;7621;66;30;31;78;95;170;274;655;1453;4746;23
2018;1100;11. Apendicitis, hernia de la cavidad abdominal y obstrucción intestinal;1;1866;5;2;5;16;26;37;72;125;352;1213;13
2018;1200;12. Enfermedades del hígado ;1;5549;12;2;8;27;80;292;888;1516;1635;1053;36
2018;1210;Ciertas enf. crónicas del hígado y cirrosis;2;4043;1;0;2;8;56;198;681;1147;1219;709;22
2018;1220;Las demás enfermedades del hígado;2;1506;11;2;6;19;24;94;207;369;416;344;14
2018;1300;13. Enfermedades del sistema urinario;1;13305;19;14;13;51;93;226;450;1243;2544;8589;63
2018;1310;Nefritis y nefrosis;2;8719;14;10;9;36;81;186;370;983;1843;5146;41
2018;1320;Las demás enfermedades del sistema urinario;2;4586;5;4;4;15;12;40;80;260;701;3443;22
2018;1400;14. Embarazo, parto y puerperio;1;294;0;0;1;95;112;83;2;1;0;0;0
2018;1500;15.  Ciertas afecciones originadas en el período perinatal;1;3039;3039;0;0;0;0;0;0;0;0;0;0
2018;1600;16.  Malformaciones Congénitas, Deformaciones y anomalías cromosómicas;1;2180;1690;192;64;62;42;34;23;35;15;20;3
2018;1700;17. Causas externas;1;19472;135;343;437;3774;3276;2544;1937;1872;1860;3052;242
2018;1701;Accidentes de tráfico de vehículo de motor;2;4097;18;57;108;1080;789;633;464;399;347;179;23
2018;1702;Otros accidentes de transporte, inclusive secuelas;2;256;2;7;11;48;41;41;32;35;25;12;2
2018;1703;Ahogamiento y sumersión accidentales;2;341;7;70;27;74;49;32;29;24;13;14;2
2018;1704;Accidentes no especificados;2;2565;3;25;23;262;219;222;168;219;264;1146;14
2018;1705;Otras causas externas de traumatismos accidentales, inclusive secuelas;2;1867;79;74;78;178;216;196;174;196;209;437;30
2018;1710;Suicidios, inclusive secuelas;2;3322;0;0;57;885;704;487;379;292;237;241;40
2018;1720;Agresiones, inclusive secuelas;2;1646;6;22;21;454;426;264;140;125;86;70;32
2018;1730;Eventos intención no determinada, inclusive secuelas;2;4302;13;84;100;770;806;620;481;439;389;502;98
2018;1740;Complicaciones de la atención médica y quirúrgica;2;1055;7;4;12;18;24;47;68;142;284;448;1
2018;1750;Las demás causas externas;2;21;0;0;0;5;2;2;2;1;6;3;0
2018;1800;18. Demás causas definidas;1;17346;79;122;207;367;397;653;1118;2084;3503;8734;82
2018;1900;B. MAL DEFINIDAS Y DESCONOCIDAS;1;21871;351;92;53;214;316;569;1094;2308;4264;12498;112
